Vetor original Vet:
Elememto Vet[181]= 28795
Elememto Vet[182]= 25364
Elememto Vet[183]= 46030
Elememto Vet[184]= 3617
Elememto Vet[185]= 25523
Elememto Vet[186]= 28004
Elememto Vet[187]= 34781
Elememto Vet[188]= 13163
Elememto Vet[189]= 19054
Elememto Vet[190]= 8927
Elememto Vet[191]= 25117
Elememto Vet[192]= 21518
Elememto Vet[193]= 22081
Elememto Vet[194]= 38860
Elememto Vet[195]= 1424
Elememto Vet[196]= 36717
Elememto Vet[197]= 26488
Elememto Vet[198]= 15666
Elememto Vet[199]= 36721
Elememto Vet[200]= 25232
Elememto Vet[201]= 19626
Elememto Vet[202]= 21803
Elememto Vet[203]= 38447
Elememto Vet[204]= 16164
Elememto Vet[205]= 33908
Elememto Vet[206]= 9710
Elememto Vet[207]= 13750
Elememto Vet[208]= 41893
Elememto Vet[209]= 45004
Elememto Vet[210]= 29042
Elememto Vet[211]= 12727
Elememto Vet[212]= 32926
Elememto Vet[213]= 23983
Elememto Vet[214]= 26752
Elememto Vet[215]= 5003
Elememto Vet[216]= 42170
Elememto Vet[217]= 19126
Elememto Vet[218]= 13021
Elememto Vet[219]= 15078
Elememto Vet[220]= 25096
Elememto Vet[221]= 36587
Elememto Vet[222]= 38180
Elememto Vet[223]= 10190
Elememto Vet[224]= 9757
Elememto Vet[225]= 28149
Elememto Vet[226]= 11179
Elememto Vet[227]= 3754
Elememto Vet[228]= 36301
Elememto Vet[229]= 38275
Elememto Vet[230]= 23962
Elememto Vet[231]= 25135
Elememto Vet[232]= 3806
Elememto Vet[233]= 20376
Elememto Vet[234]= 25880
Elememto Vet[235]= 42865
Elememto Vet[236]= 36624
Elememto Vet[237]= 20884
Elememto Vet[238]= 29983
Elememto Vet[239]= 33578
Elememto Vet[240]= 11179
Elememto Vet[241]= 10204
Elememto Vet[242]= 45332
Elememto Vet[243]= 32042
Elememto Vet[244]= 33597
Elememto Vet[245]= 21022
Elememto Vet[246]= 28785
Elememto Vet[247]= 11130
Elememto Vet[248]= 27806
Elememto Vet[249]= 25025
Elememto Vet[250]= 9676
Elememto Vet[251]= 8687
Elememto Vet[252]= 24193
Elememto Vet[253]= 18656
Elememto Vet[254]= 26912
Elememto Vet[255]= 23874
Elememto Vet[256]= 17739
Elememto Vet[257]= 5778
Elememto Vet[258]= 20031
Elememto Vet[259]= 12116
Elememto Vet[260]= 31547
Elememto Vet[261]= 34277
Elememto Vet[262]= 20552
Elememto Vet[263]= 15070
Elememto Vet[264]= 44763
Elememto Vet[265]= 40015
Elememto Vet[266]= 35388
Elememto Vet[267]= 21957
Elememto Vet[268]= 15689
Elememto Vet[269]= 18750
Elememto Vet[270]= 25207
Elememto Vet[271]= 14205
Elememto Vet[272]= 26093
Elememto Vet[273]= 33078
Elememto Vet[274]= 7628
Elememto Vet[275]= 31035
Elememto Vet[276]= 11960
Elememto Vet[277]= 12615
Elememto Vet[278]= 31338
Elememto Vet[279]= 13259
Elememto Vet[280]= 34625
Elememto Vet[281]= 15444
Elememto Vet[282]= 12897
Elememto Vet[283]= 12909
Elememto Vet[284]= 12377
Elememto Vet[285]= 15310
Elememto Vet[286]= 28944
Elememto Vet[287]= 41288
Elememto Vet[288]= 25204
Elememto Vet[289]= 36234
Elememto Vet[290]= 5545
Elememto Vet[291]= 15617
Elememto Vet[292]= 30021
Elememto Vet[293]= 42515
Elememto Vet[294]= 35529
Elememto Vet[295]= 21761
Elememto Vet[296]= 23045
Elememto Vet[297]= 36080
Elememto Vet[298]= 11635
Elememto Vet[299]= 36009
Elememto Vet[300]= 21664
Elememto Vet[301]= 28402
Elememto Vet[302]= 17281
Elememto Vet[303]= 14371
Elememto Vet[304]= 37855
Elememto Vet[305]= 11274
Elememto Vet[306]= 1818
Elememto Vet[307]= 47970
Elememto Vet[308]= 29825
Elememto Vet[309]= 38073
Elememto Vet[310]= 32584
Elememto Vet[311]= 10237
Elememto Vet[312]= 19490
Elememto Vet[313]= 14307
Elememto Vet[314]= 34844
Elememto Vet[315]= 19946
Elememto Vet[316]= 24334
Elememto Vet[317]= 29992
Elememto Vet[318]= 22119
Elememto Vet[319]= 34158
Elememto Vet[320]= 30828
Elememto Vet[321]= 31850
Elememto Vet[322]= 19994
Elememto Vet[323]= 32734
Elememto Vet[324]= 44382
Elememto Vet[325]= 3145
Elememto Vet[326]= 5777
Elememto Vet[327]= 25972
Elememto Vet[328]= 10204
Elememto Vet[329]= 29948
Elememto Vet[330]= 33169
Elememto Vet[331]= 14239
Elememto Vet[332]= 22850
Elememto Vet[333]= 33502
Elememto Vet[334]= 17667
Elememto Vet[335]= 8346
Elememto Vet[336]= 25357
Elememto Vet[337]= 23511
Elememto Vet[338]= 46557
Elememto Vet[339]= 33240
Elememto Vet[340]= 14536
Elememto Vet[341]= 10723
Elememto Vet[342]= 32393
Elememto Vet[343]= 33681
Elememto Vet[344]= 18639
Elememto Vet[345]= 7675
Elememto Vet[346]= 22141
Elememto Vet[347]= 25401
Elememto Vet[348]= 11983
Elememto Vet[349]= 43816
Elememto Vet[350]= 13651
Elememto Vet[351]= 29304
Elememto Vet[352]= 16049
Elememto Vet[353]= 39428
Elememto Vet[354]= 34575
Elememto Vet[355]= 33645
Elememto Vet[356]= 35588
Elememto Vet[357]= 26954
Elememto Vet[358]= 13088
Elememto Vet[359]= 42935
Elememto Vet[360]= 12256
Elememto Vet[361]= 24064
Elememto Vet[362]= 12995
Elememto Vet[363]= 16935
Elememto Vet[364]= 23716
Elememto Vet[365]= 36644
Elememto Vet[366]= 31033
Elememto Vet[367]= 34243
Elememto Vet[368]= 36425
Elememto Vet[369]= 17438
Elememto Vet[370]= 31124
Elememto Vet[371]= 25103
Elememto Vet[372]= 41741
Elememto Vet[373]= 21577
Elememto Vet[374]= 16802
Elememto Vet[375]= 16902
Elememto Vet[376]= 25100
Elememto Vet[377]= 17772
Elememto Vet[378]= 19714
Elememto Vet[379]= 23176
Elememto Vet[380]= 44479
Elememto Vet[381]= 27459
Elememto Vet[382]= 12454
Elememto Vet[383]= 31216
Elememto Vet[384]= 27844
Elememto Vet[385]= 23000
Elememto Vet[386]= 4956
Elememto Vet[387]= 38527
Elememto Vet[388]= 28439
Elememto Vet[389]= 5796
Elememto Vet[390]= 39251
Elememto Vet[391]= 41279
Elememto Vet[392]= 17984
Elememto Vet[393]= 43198
Elememto Vet[394]= 14123
Elememto Vet[395]= 38848
Elememto Vet[396]= 23634
Elememto Vet[397]= 38726
Elememto Vet[398]= 18838
Elememto Vet[399]= 33565
Elememto Vet[400]= 18881
Elememto Vet[401]= 6238
Elememto Vet[402]= 10339
Elememto Vet[403]= 25657
Elememto Vet[404]= 23247
Elememto Vet[405]= 11639
Elememto Vet[406]= 15055
Elememto Vet[407]= 41518
Elememto Vet[408]= 42340
Elememto Vet[409]= 32358
Elememto Vet[410]= 6958
Elememto Vet[411]= 43339
Elememto Vet[412]= 8204
Elememto Vet[413]= 13736
Elememto Vet[414]= 8509
Elememto Vet[415]= 30555
Elememto Vet[416]= 30420
Elememto Vet[417]= 27668
Elememto Vet[418]= 31708
Elememto Vet[419]= 15857
Elememto Vet[420]= 33896
Elememto Vet[421]= 14294
Elememto Vet[422]= 19451
Elememto Vet[423]= 32837
Elememto Vet[424]= 19569
Elememto Vet[425]= 24262
Elememto Vet[426]= 32331
Elememto Vet[427]= 24730
Elememto Vet[428]= 40910
Elememto Vet[429]= 21710
Elememto Vet[430]= 21912
Elememto Vet[431]= 32282
Elememto Vet[432]= 22249
Elememto Vet[433]= 35864
Elememto Vet[434]= 4551
Elememto Vet[435]= 21460
Elememto Vet[436]= 19168
Elememto Vet[437]= 9776
Elememto Vet[438]= 30419
Elememto Vet[439]= 39142
Elememto Vet[440]= 27225
Elememto Vet[441]= 42587
Elememto Vet[442]= 28799
Elememto Vet[443]= 28093
Elememto Vet[444]= 20617
Elememto Vet[445]= 4392
Elememto Vet[446]= 26264
Elememto Vet[447]= 36904
Elememto Vet[448]= 24145
Elememto Vet[449]= 36395
Elememto Vet[450]= 37731
Elememto Vet[451]= 18581
Elememto Vet[452]= 12918
Elememto Vet[453]= 30467
Elememto Vet[454]= 35480
Elememto Vet[455]= 36239
Elememto Vet[456]= 36862
Elememto Vet[457]= 38630
Elememto Vet[458]= 28926
Elememto Vet[459]= 21031
Elememto Vet[460]= 30008
Elememto Vet[461]= 22659
Elememto Vet[462]= 13855
Elememto Vet[463]= 34038
Elememto Vet[464]= 25422
Elememto Vet[465]= 21195
Elememto Vet[466]= 32415
Elememto Vet[467]= 31841
Elememto Vet[468]= 37917
Elememto Vet[469]= 22529
Elememto Vet[470]= 26602
Elememto Vet[471]= 25856
Elememto Vet[472]= 36621
Elememto Vet[473]= 34520
Elememto Vet[474]= 31861
Elememto Vet[475]= 24739
Elememto Vet[476]= 16401
Elememto Vet[477]= 30542
Elememto Vet[478]= 10796
Elememto Vet[479]= 21991
Elememto Vet[480]= 37069
Elememto Vet[481]= 9817
Elememto Vet[482]= 9757
Elememto Vet[483]= 32410
Elememto Vet[484]= 40305
Elememto Vet[485]= 30633
Elememto Vet[486]= 38060
Elememto Vet[487]= 15018
Elememto Vet[488]= 27576
Elememto Vet[489]= 24912
Elememto Vet[490]= 16919
Elememto Vet[491]= 19108
Elememto Vet[492]= 41999
Elememto Vet[493]= 23535
Elememto Vet[494]= 35499
Elememto Vet[495]= 32037
Elememto Vet[496]= 26222
Elememto Vet[497]= 40952
Elememto Vet[498]= 15982
Elememto Vet[499]= 27824
Elememto Vet[500]= 24070
Elememto Vet[501]= 27068
Elememto Vet[502]= 22409
Elememto Vet[503]= 33275
Elememto Vet[504]= 10158
Elememto Vet[505]= 30383
Elememto Vet[506]= 45538
Elememto Vet[507]= 25483
Elememto Vet[508]= 14710
Elememto Vet[509]= 30095
Elememto Vet[510]= 33154
Elememto Vet[511]= 26470
Elememto Vet[512]= 17860
Elememto Vet[513]= 46436
Elememto Vet[514]= 36223
Elememto Vet[515]= 29216
Elememto Vet[516]= 30412
Elememto Vet[517]= 22185
Elememto Vet[518]= 10677
Elememto Vet[519]= 17172
Elememto Vet[520]= 13264
Elememto Vet[521]= 38948
Elememto Vet[522]= 24853
Elememto Vet[523]= 17108
Elememto Vet[524]= 43492
Elememto Vet[525]= 25235
Elememto Vet[526]= 31070
Elememto Vet[527]= 16086
Elememto Vet[528]= 8639
Elememto Vet[529]= 27246
Elememto Vet[530]= 42833
Elememto Vet[531]= 9806
Elememto Vet[532]= 22206
Elememto Vet[533]= 31631
Elememto Vet[534]= 33244
Elememto Vet[535]= 10247
Elememto Vet[536]= 3005
Elememto Vet[537]= 17936
Elememto Vet[538]= 30290
Elememto Vet[539]= 41457
Elememto Vet[540]= 33001
Elememto Vet[541]= 35866
Elememto Vet[542]= 36719
Elememto Vet[543]= 23766
Elememto Vet[544]= 15195
Elememto Vet[545]= 41350
Elememto Vet[546]= 19398
Elememto Vet[547]= 11945
Elememto Vet[548]= 6337
Elememto Vet[549]= 14210
Elememto Vet[550]= 35124
Elememto Vet[551]= 11331
Elememto Vet[552]= 18870
Elememto Vet[553]= 19345
Elememto Vet[554]= 15738
Elememto Vet[555]= 39155
Elememto Vet[556]= 23415
Elememto Vet[557]= 30355
Elememto Vet[558]= 24165
Elememto Vet[559]= 10456
Elememto Vet[560]= 32635
Elememto Vet[561]= 39869
Elememto Vet[562]= 17787
Elememto Vet[563]= 33280
Elememto Vet[564]= 25204
Elememto Vet[565]= 15087
Elememto Vet[566]= 26213
Elememto Vet[567]= 7318
Elememto Vet[568]= 4793
Elememto Vet[569]= 21098
Elememto Vet[570]= 17209
Elememto Vet[571]= 37196
Elememto Vet[572]= 42122
Elememto Vet[573]= 16832
Elememto Vet[574]= 28706
Elememto Vet[575]= 23466
Elememto Vet[576]= 43280
Elememto Vet[577]= 27523
Elememto Vet[578]= 14946
Elememto Vet[579]= 30147
Elememto Vet[580]= 30742
Elememto Vet[581]= 1957
Elememto Vet[582]= 29351
Elememto Vet[583]= 42097
Elememto Vet[584]= 31481
Elememto Vet[585]= 20248
Elememto Vet[586]= 18116
Elememto Vet[587]= 33397
Elememto Vet[588]= 29446
Elememto Vet[589]= 39789
Elememto Vet[590]= 22850
Elememto Vet[591]= 20492
Elememto Vet[592]= 16661
Elememto Vet[593]= 29864
Elememto Vet[594]= 26730
Elememto Vet[595]= 15874
Elememto Vet[596]= 10407
Elememto Vet[597]= 32277
Elememto Vet[598]= 33956
Elememto Vet[599]= 19941
Elememto Vet[600]= 22388
Elememto Vet[601]= 25934
Elememto Vet[602]= 33989
Elememto Vet[603]= 37671
Elememto Vet[604]= 26760
Elememto Vet[605]= 21341
Elememto Vet[606]= 19722
Elememto Vet[607]= 12829
Elememto Vet[608]= 16321
Elememto Vet[609]= 15594
Elememto Vet[610]= 9604
Elememto Vet[611]= 24623
Elememto Vet[612]= 28423
Elememto Vet[613]= 41121
Elememto Vet[614]= 25152
Elememto Vet[615]= 29794
Elememto Vet[616]= 8810
Elememto Vet[617]= 14729
Elememto Vet[618]= 43298
Elememto Vet[619]= 10121
Elememto Vet[620]= 17748
Elememto Vet[621]= 19968
Elememto Vet[622]= 19654
Elememto Vet[623]= 37697
Elememto Vet[624]= 39613
Elememto Vet[625]= 24250
Elememto Vet[626]= 24478
Elememto Vet[627]= 45847
Elememto Vet[628]= 37928
Elememto Vet[629]= 13767
Elememto Vet[630]= 23576
Elememto Vet[631]= 17591
Elememto Vet[632]= 10955
Elememto Vet[633]= 21899
Elememto Vet[634]= 27255
Elememto Vet[635]= 38483
Elememto Vet[636]= 38837
Elememto Vet[637]= 18373
Elememto Vet[638]= 15288
Elememto Vet[639]= 34211
Elememto Vet[640]= 14062
Elememto Vet[641]= 19593
Elememto Vet[642]= 24571
Elememto Vet[643]= 44924
Elememto Vet[644]= 44807
Elememto Vet[645]= 26951
Elememto Vet[646]= 7710
Elememto Vet[647]= 36261
Elememto Vet[648]= 37942
Elememto Vet[649]= 5234
Elememto Vet[650]= 23222
Elememto Vet[651]= 29615
Elememto Vet[652]= 3229
Elememto Vet[653]= 21788
Elememto Vet[654]= 3710
Elememto Vet[655]= 19110
Elememto Vet[656]= 18243
Elememto Vet[657]= 20678
Elememto Vet[658]= 31384
Elememto Vet[659]= 25293
Elememto Vet[660]= 17879
Elememto Vet[661]= 31633
Elememto Vet[662]= 27714
Elememto Vet[663]= 28489
Elememto Vet[664]= 25663
Elememto Vet[665]= 29521
Elememto Vet[666]= 26400
Elememto Vet[667]= 33536
Elememto Vet[668]= 13039
Elememto Vet[669]= 40740
Elememto Vet[670]= 7082
Elememto Vet[671]= 28266
Elememto Vet[672]= 19642
Elememto Vet[673]= 19089
Elememto Vet[674]= 29353
Elememto Vet[675]= 28457
Elememto Vet[676]= 23620
Elememto Vet[677]= 1302
Elememto Vet[678]= 26051
Elememto Vet[679]= 11191
Elememto Vet[680]= 12755
Elememto Vet[681]= 16535
Elememto Vet[682]= 19201
Elememto Vet[683]= 38326
Elememto Vet[684]= 23125
Elememto Vet[685]= 13377
Elememto Vet[686]= 19244
Elememto Vet[687]= 39006
Elememto Vet[688]= 29749
Elememto Vet[689]= 32332
Elememto Vet[690]= 19497
Elememto Vet[691]= 6307
Elememto Vet[692]= 25905
Elememto Vet[693]= 30278
Elememto Vet[694]= 30706
Elememto Vet[695]= 37645
Elememto Vet[696]= 9538
Elememto Vet[697]= 22720
Elememto Vet[698]= 9116
Elememto Vet[699]= 20128
Elememto Vet[700]= 34054
Elememto Vet[701]= 41887
Elememto Vet[702]= 21250
Elememto Vet[703]= 18419
Elememto Vet[704]= 30036
Elememto Vet[705]= 29813
Elememto Vet[706]= 12378
Elememto Vet[707]= 12633
Elememto Vet[708]= 24126
Elememto Vet[709]= 21566
Elememto Vet[710]= 29198
Elememto Vet[711]= 21517
Elememto Vet[712]= 34171
Elememto Vet[713]= 33842
Elememto Vet[714]= 40848
Elememto Vet[715]= 12078
Elememto Vet[716]= 30204
Elememto Vet[717]= 11167
Elememto Vet[718]= 5390
Elememto Vet[719]= 21656
Elememto Vet[720]= 42582
Elememto Vet[721]= 22395
Elememto Vet[722]= 23005
Elememto Vet[723]= 27148
Elememto Vet[724]= 41050
Elememto Vet[725]= 17937
Elememto Vet[726]= 30727
Elememto Vet[727]= 26675
Elememto Vet[728]= 31586
Elememto Vet[729]= 39259
Elememto Vet[730]= 20333
Elememto Vet[731]= 38768
Elememto Vet[732]= 21033
Elememto Vet[733]= 6323
Elememto Vet[734]= 16706
Elememto Vet[735]= 45325
Elememto Vet[736]= 11148
Elememto Vet[737]= 12400
Elememto Vet[738]= 43154
Elememto Vet[739]= 33163
Elememto Vet[740]= 7286
Elememto Vet[741]= 32992
Elememto Vet[742]= 17869
Elememto Vet[743]= 30772
Elememto Vet[744]= 13299
Elememto Vet[745]= 16393
Elememto Vet[746]= 4565
Elememto Vet[747]= 47320
Elememto Vet[748]= 41071
Elememto Vet[749]= 17752
Elememto Vet[750]= 39144
Elememto Vet[751]= 6866
Elememto Vet[752]= 18404
Elememto Vet[753]= 22980
Elememto Vet[754]= 15655
Elememto Vet[755]= 5445
Elememto Vet[756]= 40658
Elememto Vet[757]= 6249
Elememto Vet[758]= 12113
Elememto Vet[759]= 27194
Elememto Vet[760]= 15902
Elememto Vet[761]= 16894
Elememto Vet[762]= 25607
Elememto Vet[763]= 38452
Elememto Vet[764]= 27596
Elememto Vet[765]= 47937
Elememto Vet[766]= 16196
Elememto Vet[767]= 15176
Elememto Vet[768]= 8256
Elememto Vet[769]= 15349
Elememto Vet[770]= 10111
Elememto Vet[771]= 41293
Elememto Vet[772]= 32363
Elememto Vet[773]= 27435
Elememto Vet[774]= 41090
Elememto Vet[775]= 38651
Elememto Vet[776]= 35527
Elememto Vet[777]= 14937
Elememto Vet[778]= 19967
Elememto Vet[779]= 21571
Elememto Vet[780]= 25728
Elememto Vet[781]= 34027
Elememto Vet[782]= 26870
Elememto Vet[783]= 34447
Elememto Vet[784]= 39503
Elememto Vet[785]= 28342
Elememto Vet[786]= 33334
Elememto Vet[787]= 29458
Elememto Vet[788]= 33142
Elememto Vet[789]= 17289
Elememto Vet[790]= 40273
Elememto Vet[791]= 22516
Elememto Vet[792]= 36586
Elememto Vet[793]= 10619
Elememto Vet[794]= 18164
Elememto Vet[795]= 11383
Elememto Vet[796]= 19498
Elememto Vet[797]= 4631
Elememto Vet[798]= 28637
Elememto Vet[799]= 20326
Elememto Vet[800]= 20034
Elememto Vet[801]= 35461
Elememto Vet[802]= 34450
Elememto Vet[803]= 10594
Elememto Vet[804]= 12015
Elememto Vet[805]= 46752
Elememto Vet[806]= 16812
Elememto Vet[807]= 10388
Elememto Vet[808]= 25800
Elememto Vet[809]= 37010
Elememto Vet[810]= 17296
Elememto Vet[811]= 45120
Elememto Vet[812]= 18013
Elememto Vet[813]= 41958
Elememto Vet[814]= 12794
Elememto Vet[815]= 30366
Elememto Vet[816]= 5401
Elememto Vet[817]= 36130
Elememto Vet[818]= 15325
Elememto Vet[819]= 34047
Elememto Vet[820]= 13079
Elememto Vet[821]= 14387
Elememto Vet[822]= 32309
Elememto Vet[823]= 25325
Elememto Vet[824]= 14337
Elememto Vet[825]= 40960
Elememto Vet[826]= 10166
Elememto Vet[827]= 18701
Elememto Vet[828]= 17592
Elememto Vet[829]= 24759
Elememto Vet[830]= 28476
Elememto Vet[831]= 15268
Elememto Vet[832]= 10689
Elememto Vet[833]= 17837
Elememto Vet[834]= 18441
Elememto Vet[835]= 38919
Elememto Vet[836]= 36575
Elememto Vet[837]= 18960
Elememto Vet[838]= 26829
Elememto Vet[839]= 12912
Elememto Vet[840]= 38438
Elememto Vet[841]= 21221
Elememto Vet[842]= 25093
Elememto Vet[843]= 29950
Elememto Vet[844]= 22394
Elememto Vet[845]= 45836
Elememto Vet[846]= 18819
Elememto Vet[847]= 15499
Elememto Vet[848]= 26062
Elememto Vet[849]= 42294
Elememto Vet[850]= 28583
Elememto Vet[851]= 23005
Elememto Vet[852]= 6117
Elememto Vet[853]= 19622
Elememto Vet[854]= 22559
Elememto Vet[855]= 37866
Elememto Vet[856]= 40488
Elememto Vet[857]= 16303
Elememto Vet[858]= 32703
Elememto Vet[859]= 38772
Elememto Vet[860]= 39330
Elememto Vet[861]= 27297
Elememto Vet[862]= 9087
Elememto Vet[863]= 9589
Elememto Vet[864]= 13359
Elememto Vet[865]= 10974
Elememto Vet[866]= 17751
Elememto Vet[867]= 34304
Elememto Vet[868]= 34236
Elememto Vet[869]= 32520
Elememto Vet[870]= 21857
Elememto Vet[871]= 9756
Elememto Vet[872]= 15618
Elememto Vet[873]= 21713
Elememto Vet[874]= 39136
Elememto Vet[875]= 22510
Elememto Vet[876]= 21010
Elememto Vet[877]= 27626
Elememto Vet[878]= 20241
Elememto Vet[879]= 33054
Elememto Vet[880]= 37171
Elememto Vet[881]= 28949
Elememto Vet[882]= 31321
Elememto Vet[883]= 15662
Elememto Vet[884]= 24066
Elememto Vet[885]= 29092
Elememto Vet[886]= 26431
Elememto Vet[887]= 22822
Elememto Vet[888]= 35738
Elememto Vet[889]= 39945
Elememto Vet[890]= 29004
Elememto Vet[891]= 17196
Elememto Vet[892]= 21097
Elememto Vet[893]= 45060
Elememto Vet[894]= 10457
Elememto Vet[895]= 26710
Elememto Vet[896]= 23321
Elememto Vet[897]= 44443
Elememto Vet[898]= 36347
Elememto Vet[899]= 29064
Elememto Vet[900]= 17656
Elememto Vet[901]= 34378
Elememto Vet[902]= 33692
Elememto Vet[903]= 16154
Elememto Vet[904]= 28894
Elememto Vet[905]= 44328
Elememto Vet[906]= 22432
Elememto Vet[907]= 31391
Elememto Vet[908]= 35561
Elememto Vet[909]= 5458
Elememto Vet[910]= 44055
Elememto Vet[911]= 21135
Elememto Vet[912]= 17620
Elememto Vet[913]= 9278
Elememto Vet[914]= 40494
Elememto Vet[915]= 31343
Elememto Vet[916]= 27036
Elememto Vet[917]= 16570
Elememto Vet[918]= 11029
Elememto Vet[919]= 15206
Elememto Vet[920]= 41419
Elememto Vet[921]= 32412
Elememto Vet[922]= 14625
Elememto Vet[923]= 13413
Elememto Vet[924]= 30351
Elememto Vet[925]= 31489
Elememto Vet[926]= 24264
Elememto Vet[927]= 22826
Elememto Vet[928]= 22017
Elememto Vet[929]= 15040
Elememto Vet[930]= 10964
Elememto Vet[931]= 12305
